,Date Time,inci #,Description,Address,dispo
0,7/8/2024 12:04:00 AM,202407080001,SECURITY CHECK,2800 Block of CANDLEBERRY WY,
1,7/8/2024 12:25:42 AM,202407080002,SUSPICIOUS PERSON HOMELESS,3300 Block of N TEXAS ST,
2,7/8/2024 12:48:36 AM,202407080003,SECURITY CHECK,3000 Block of DOVER AV,
3,7/8/2024 12:50:20 AM,202407080004,488 PETTY THEFT,200 Block of E TABOR AV,
4,7/8/2024 1:06:50 AM,202407080007,Traffic Stop,8700 Block of MANUEL CAMPOS PKWY,
5,7/8/2024 1:11:21 AM,202407080008,SECURITY CHECK,2900 Block of GULF DR,
6,7/8/2024 1:23:07 AM,202407080009,SECURITY CHECK,0 Block of ONE LAKE DR,
7,7/8/2024 1:26:51 AM,202407080010,SECURITY CHECK,200 Block of E KENTUCKY ST,
8,7/8/2024 1:32:14 AM,202407080011,ANIMAL CALL,2300 Block of CUNNINGHAM DR,
9,7/8/2024 1:37:23 AM,202407080012,CITIZEN ASSIST,1600 Block of HAZELWOOD CT,
10,7/8/2024 1:50:38 AM,202407080013,SECURITY CHECK,2100 Block of N TEXAS ST,
11,7/8/2024 2:04:02 AM,202407080014,SILENT ALARM,100 Block of COMMERCE CT,
12,7/8/2024 2:20:20 AM,202407080015,PARKING VIOLATION,2500 Block of N TEXAS ST,
13,7/8/2024 2:35:07 AM,202407080016,SECURITY CHECK,2200 Block of N TEXAS ST,
14,7/8/2024 2:42:38 AM,202407080017,SUSPICIOUS PERSON,2300 Block of N TEXAS ST,
15,7/8/2024 3:03:01 AM,202407080018,911 CELL PHONE HANG UP,0 Block of MAIN ST,
16,7/8/2024 3:18:59 AM,202407080020,AUDIBLE ALARM,5200 Block of BUSINESS CENTER DR,
17,7/8/2024 3:49:46 AM,202407080021,Traffic Stop,11600 Block of WB AIR BASE PKWY,
18,7/8/2024 4:10:19 AM,202407080023,SECURITY CHECK,1000 Block of WEBSTER ST,
19,7/8/2024 4:21:29 AM,202407080024,SECURITY CHECK,1300 Block of TRAVIS BL,
20,7/8/2024 4:29:32 AM,202407080025,SECURITY CHECK,800 Block of JEFFERSON ST,
21,7/8/2024 4:41:48 AM,202407080027,AUDIBLE ALARM,1700 Block of TRAVIS BL,
22,7/8/2024 4:46:58 AM,202407080028,Traffic Stop,9100 Block of N TEXAS ST,
23,7/8/2024 4:48:49 AM,202407080029,911 CELL PHONE HANG UP,2500 Block of N TEXAS ST,
24,7/8/2024 5:10:20 AM,202407080030,AUDIBLE ALARM,2100 Block of COURAGE DR,
25,7/8/2024 5:27:14 AM,202407080031,911 CELL PHONE HANG UP,0 Block of CARPENTER ST,
26,7/8/2024 5:41:42 AM,202407080032,WELFARE CHECK,2000 Block of WYLIE CT,
27,7/8/2024 6:25:41 AM,202407080034,SUSPICIOUS PERSON HOMELESS,200 Block of JASMINE ST,
28,7/8/2024 6:31:15 AM,202407080035,911 CELL PHONE HANG UP,700 Block of SAN MARCO ST,
29,7/8/2024 6:42:23 AM,202407080036,SUSPICIOUS PERSON HOMELESS,1000 Block of N TEXAS ST,
30,7/8/2024 7:00:57 AM,202407080038,911 CELL PHONE HANG UP,100 Block of CHEVY CHASE CT,
31,7/8/2024 7:01:09 AM,202407080039,SECURITY CHECK,5400 Block of AIR BASE PKWY,
32,7/8/2024 7:02:47 AM,202407080040,166L COURT ORDER VIOLATION - LATE,2300 Block of CHINA LN,
33,7/8/2024 7:24:14 AM,202407080041,415 DISTURBING THE PEACE,2400 Block of CLAY BANK RD,
34,7/8/2024 7:33:52 AM,202407080042,911 CELL PHONE HANG UP,2000 Block of PENNSYLVANIA AV,
35,7/8/2024 7:43:06 AM,202407080045,SIGNAL LIGHT OUT,0 Block of UNION AV,
36,7/8/2024 7:59:52 AM,202407080047,415 DISTURBING THE PEACE,600 Block of GRANITE LN,
37,7/8/2024 8:02:29 AM,202407080048,459CL BURGLARY - COMMERCIAL - LATE,2100 Block of CORDELIA RD,
38,7/8/2024 8:04:08 AM,202407080049,AUDIBLE ALARM,1800 Block of BLUE ROCK CT,
39,7/8/2024 8:05:37 AM,202407080050,242 BATTERY,300 Block of TRAVIS BL,
40,7/8/2024 8:12:21 AM,202407080052,FOLLOW UP,1000 Block of WEBSTER ST,
41,7/8/2024 8:18:33 AM,202407080053,487L GRAND THEFT - LATE,1500 Block of GATEWAY BL,
42,7/8/2024 8:31:24 AM,202407080054,ABANDONED VEHICLE,2100 Block of MONTEZUMA CT,
43,7/8/2024 8:41:34 AM,202407080056,Traffic Stop,9100 Block of N TEXAS ST,
44,7/8/2024 8:44:14 AM,202407080057,AUDIBLE ALARM,2300 Block of N WATNEY WY,
45,7/8/2024 8:44:39 AM,202407080058,ABANDONED VEHICLE,1400 Block of MONROE ST,
46,7/8/2024 8:47:17 AM,202407080059,Traffic Stop,6400 Block of CHALICE CT,
47,7/8/2024 8:50:23 AM,202407080060,WELFARE CHECK - HOMELESS,3000 Block of TRAVIS BL,
48,7/8/2024 8:56:32 AM,202407080062,ABANDONED VEHICLE,0 Block of UNION AV,
49,7/8/2024 8:56:55 AM,202407080063,Traffic Stop,9100 Block of N TEXAS ST,
50,7/8/2024 8:58:37 AM,202407080064,ABANDONED VEHICLE,700 Block of TABOR AV,
51,7/8/2024 9:00:04 AM,202407080065,Traffic Stop,200 Block of E TABOR AV,
52,7/8/2024 9:02:25 AM,202407080066,ABANDONED VEHICLE,1500 Block of JEFFERSON ST,
53,7/8/2024 9:04:00 AM,202407080067,594 VANDALISM IN PROGRESS,1400 Block of W TEXAS ST,
54,7/8/2024 9:07:50 AM,202407080068,911 CELL PHONE HANG UP,2100 Block of FIELDCREST AV,
55,7/8/2024 9:11:29 AM,202407080069,ABANDONED VEHICLE,2200 Block of WOOLNER AV,
56,7/8/2024 9:13:41 AM,202407080070,22500 PARKING VIOLATION,0 Block of RAYBURN CT,
57,7/8/2024 9:15:19 AM,202407080071,488 PETTY THEFT,2000 Block of CADENASSO DR,
58,7/8/2024 9:26:56 AM,202407080073,ABANDONED VEHICLE,700 Block of PERSIMMON PL,
59,7/8/2024 9:27:42 AM,202407080074,415L DISTURBANCE - LATE,2400 Block of ARTISAN WY,
60,7/8/2024 9:30:34 AM,202407080075,FOLLOW UP,1400 Block of W TEXAS ST,
61,7/8/2024 9:41:15 AM,202407080077,ABANDONED VEHICLE,1900 Block of GRANDE CR,
62,7/8/2024 9:42:10 AM,202407080078,TRESPASSING TRANSIENT/CAMP,1900 Block of W TEXAS ST,
63,7/8/2024 9:50:26 AM,202407080080,SUSPICIOUS PERSON HOMELESS,100 Block of PITTMAN RD,
64,7/8/2024 9:51:15 AM,202407080081,911 CELL PHONE HANG UP,5300 Block of LAURELRIDGE CT,
65,7/8/2024 9:51:31 AM,202407080082,ABANDONED VEHICLE,0 Block of BERKELEY WY,
66,7/8/2024 9:51:38 AM,202407080083,415L DISTURBANCE - LATE,2000 Block of ORIOLE CT,
67,7/8/2024 9:55:10 AM,202407080084,AUDIBLE ALARM,2300 Block of S WATNEY WY,
68,7/8/2024 9:55:58 AM,202407080085,911 CELL PHONE HANG UP,300 Block of E TABOR AV,
69,7/8/2024 10:02:50 AM,202407080086,Traffic Stop,7200 Block of E TABOR AV,
70,7/8/2024 10:03:11 AM,202407080087,Traffic Stop,7200 Block of EB HWY 12,
71,7/8/2024 10:11:22 AM,202407080090,ABANDONED VEHICLE,0 Block of E PACIFIC AV,
72,7/8/2024 10:13:18 AM,202407080091,SUSPICIOUS PERSON HOMELESS,0 Block of N WATNEY WY,
73,7/8/2024 10:14:16 AM,202407080092,SUSPICIOUS PERSON HOMELESS,800 Block of E TRAVIS BL,
74,7/8/2024 10:16:20 AM,202407080093,CITIZEN ASSIST FLAG DOWN,8000 Block of HAWTHORN DR,
